p_x,p_y,p_z,dp_x,dp_y,dp_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z
0,1.5,-1.02898,0,0,-0.0199157,0.707107,0,0,0.707107,0,0,0
0,1.5,-1.02921,0,-1.20086e-05,-0.0202705,0.707107,-0.000645423,-0.000645423,0.707107,-0.60851,1.39648e-10,1.2207e-08
0,1.5,-1.02921,0,-1.20086e-05,-0.0202705,0.707106,-0.0020412,-0.000931803,0.707104,-0.387305,0.522976,4.88281e-08
-6.85386e-07,1.5,-1.02941,-8.61281e-06,-2.38157e-05,-0.0203029,0.707105,-0.0038375,-0.000173907,0.707098,-0.231308,0.855411,3.66211e-08
-6.85386e-07,1.5,-1.02941,-8.61281e-06,-2.38157e-05,-0.0203029,0.707102,-0.00585279,0.00125434,0.707087,-0.122546,1.05304,3.88794e-05
-7.49129e-06,1.49999,-1.02958,-9.30548e-05,-0.000119388,-0.019914,0.707094,-0.00796121,0.00308793,0.707068,-0.0478889,1.1563,7.20459e-05
-7.49129e-06,1.49999,-1.02958,-9.30548e-05,-0.000119388,-0.019914,0.707081,-0.0100768,0.00514086,0.707042,0.00231659,1.19431,0.000210803
-3.02928e-05,1.49998,-1.02973,-0.000367911,-0.000284849,-0.0191917,0.707063,-0.0121427,0.00728429,0.707009,0.0349606,1.18823,0.000329114
-3.02928e-05,1.49998,-1.02973,-0.000367911,-0.000284849,-0.0191917,0.707039,-0.014122,0.00943045,0.70697,0.0552805,1.15283,0.000569702
-8.01666e-05,1.49995,-1.02984,-0.000948207,-0.000513062,-0.01816,0.707011,-0.0159927,0.0115212,0.706928,0.0667586,1.09925,0.000774671
-8.01666e-05,1.49995,-1.02984,-0.000948207,-0.000513062,-0.01816,0.706979,-0.0177427,0.0135193,0.706882,0.0723168,1.03439,0.00108367
-0.000167729,1.49993,-1.02992,-0.0019295,-0.000774396,-0.0168937,0.706945,-0.0193672,0.0154024,0.706836,0.0735817,0.96441,0.00134686
-0.000167729,1.49993,-1.02992,-0.0019295,-0.000774396,-0.0168937,0.706908,-0.0208657,0.0171585,0.706789,0.0722399,0.891761,0.00168461
-0.000302443,1.4999,-1.02996,-0.00337975,-0.00107417,-0.0153607,0.70687,-0.0222414,0.0187829,0.706744,0.068927,0.820361,0.00197242
-0.000302443,1.4999,-1.02996,-0.00337975,-0.00107417,-0.0153607,0.706832,-0.0234988,0.0202755,0.7067,0.0647161,0.749997,0.00230831
-0.000492413,1.49986,-1.02998,-0.00534279,-0.00138726,-0.0136354,0.706794,-0.0246445,0.0216397,0.706658,0.0596877,0.683817,0.00259453
-0.000492413,1.49986,-1.02998,-0.00534279,-0.00138726,-0.0136354,0.706757,-0.0256845,0.0228804,0.70662,0.0546088,0.619884,0.00290743
-0.000744403,1.49982,-1.02996,-0.00783436,-0.0017242,-0.0116982,0.706721,-0.0266265,0.0240046,0.706584,0.0492481,0.561363,0.00317401
-0.000744403,1.49982,-1.02996,-0.00783436,-0.0017242,-0.0116982,0.706686,-0.0274766,0.0250187,0.706551,0.0442477,0.505085,0.00345359
-0.00106395,1.49978,-1.02991,-0.0108698,-0.00205122,-0.00963597,0.706652,-0.0282422,0.0259306,0.706522,0.0392074,0.454631,0.00369181
-0.00106395,1.49978,-1.02991,-0.0108698,-0.00205122,-0.00963597,0.70662,-0.0289288,0.0267467,0.706496,0.0346625,0.405843,0.00393293
-0.00145552,1.49973,-1.02983,-0.014425,-0.00237512,-0.00739986,0.706589,-0.0295434,0.0274749,0.706473,0.0301622,0.362943,0.00413844
-0.00145552,1.49973,-1.02983,-0.014425,-0.00237512,-0.00739986,0.70656,-0.0300905,0.0281209,0.706453,0.0262048,0.320933,0.00434176
